涉	しょう,わたる
幹士	かんじ,みきお,みきと
幹治	かんじ,みきはる,もとはる
幹寿	みきとし,みきひさ
幹人	かんと,みきと,みきひと
幹仁	みきと,みきひと
幹晴	みきなり,みきはる
幹生	みきお,もとき
幹泰	かんた,みきやす
幹大	かんた,かんだい,ともひろ,みきひろ,みきまさ,もとひろ
幹典	みきのり,もとふみ
幹斗	かんと,まさと,みきと
幹博	みきひろ,もとひろ
幹彦	つねひこ,みきひこ,もとひこ
幹敏	まさと,みきとし
幹也	ともや,みきなり,みきや,もとや
幹弥	みきひさ,みきや
幹悠	みきはる,みきひさ
幹裕	みきひろ,みきやす
幹雄	みきお,もとお
幹郎	まさお,みきお
敢	いさむ,つよし
敢大	かんた,かんだい
款大	かんた,ただひろ
歓喜	かんき,よしき
歓人	かんと,よしひと
歓生	かんせい,よしお
歓泰	かんた,かんだい
歓大	かんた,かんだい
環仁	かんじ,かんと
環大	かんた,かんだい
監太郎	かんたろう,けんたろう
莞大	かんた,かんだい
観大	かんた,かんだい
貫仁	かんじ,やすひと
閑也	しずや,のりや
巌	いわお,げん
喜一	かいち,よしかず
喜介	きすけ,よしゆき
喜稀	はるき,はるま,よしき
喜紀	はるき,よしき,よしのり
喜貴	のぶたか,はるき,よしき,よしたか
喜久	はるく,よしひさ
喜幸	よしき,よしゆき
喜哉	はるや,よしや
喜史	はるふみ,よしふみ
喜治	ゆきち,よしはる
喜昭	きしょう,よしあき
喜真	はるま,よしまさ
喜人	きよと,はると,ひさと,よしと,よしひと,よしひろ
喜仁	はると,ひさと,よしひと
喜正	きよまさ,よしまさ
喜生	きせい,よしお,よしき
喜大	としひろ,よしひろ
喜典	きすけ,よしのり
喜斗	はると,よしと
喜道	はるみち,よしみち
喜彦	のぶひこ,よしひこ
喜悠	よしはる,よしひさ
喜雄	のぶお,よしお
喜翔	はると,ひさと,よしと
基規	もとき,もとのり
基元	のりちか,もとはる
基孝	のりたか,もとたか
基司	もとし,もとじ
基史	もとし,もとふみ
基次	もとじ,もとつぐ
基治	もとじ,もとはる
基彰	のりあき,もとあき
基生	もとお,もとき
基泰	もとひろ,もとやす
基也	もとなり,もとや
基矢	みきや,もとや
基隆	きりゅう,もとたか
希尚	やすたか,やすひさ
希真	きしん,のぞむ
幾多郎	いくたろう,きたろう
幾太郎	いくたろう,きたろう
期也	ときなり,のりや
毅	ごう,たけし,たける,つよし
毅一	のりかず,よしかず
毅憲	たけのり,としのり
毅樹	たかき,よしき
毅人	たかと,たけと
毅仁	あつひと,たけひと,よしひと
毅大	たかはる,たかひろ
毅之	たかひさ,たかゆき,たけゆき
毅彦	たかひこ,たけひこ,よしひこ
季玖	ときひさ,りく
季哉	ときや,としや
季寿	としひろ,のりひで
季将	きすけ,ときまさ
季祥	きしょう,としひろ
季宙	ときひろ,としひろ
季彦	ときひこ,ひでひこ
季也	ときなり,ときや
季弥	ときや,としひろ
紀光	としみつ,のりあき
紀寿	ただひろ,のりひさ,のりひで
紀樹	としき,のりき
紀彰	としあき,のりあき
紀昭	としあき,のりあき
紀章	きしょう,のりあき,のりふみ
紀臣	としおみ,ひろおみ
紀人	のりと,のりひと
紀仁	のりと,のりひと
紀成	としなり,もとなり
紀彦	ただひこ,としひこ,のりひこ
紀夫	としお,のりお,みちお
紀明	としあき,のりあき
紀也	としなり,のりや
紀友	あきとも,のりとも
紀雄	としお,のりお
紀郎	としろう,のりお
紀翔	かずと,きしょう,のりと
規照	のりあき,のりてる
記士	のりあき,のりひと
記之	のりゆき,ふみゆき
記彦	のりひこ,ふみひこ
貴央	たかお,たかひさ,たかひろ
貴介	きすけ,たかゆき
貴紀	たかき,たかとし,たかのり
